Timestamp	Sample Time	AI0	AI1	AI2	AI3	AI4	AI5	AI6	AI7
07/09/2022 10:52:38.8	133.000	0.781	0.801	0.742	1.030	1.274	0.000	0.000	0.000
07/09/2022 10:52:39.8	134.000	0.825	0.894	0.776	0.947	1.284	0.000	0.000	0.000
07/09/2022 10:52:40.8	135.000	0.811	0.923	0.771	1.040	1.362	0.000	0.000	0.000
07/09/2022 10:52:41.8	136.000	0.806	0.894	0.723	1.021	1.226	0.000	0.000	0.000
07/09/2022 10:52:42.8	137.000	0.811	0.815	0.762	0.874	1.250	0.000	0.000	0.000
07/09/2022 10:52:43.8	138.000	0.820	0.884	0.752	0.967	1.216	0.000	0.000	0.000
07/09/2022 10:52:44.8	139.000	0.850	1.006	0.771	0.962	1.196	0.000	0.000	0.000
07/09/2022 10:52:45.8	140.000	0.693	0.835	0.708	0.942	1.172	0.000	0.000	0.000
07/09/2022 10:52:46.8	141.000	0.820	0.889	0.698	0.928	1.245	0.000	0.000	0.000
07/09/2022 10:52:47.8	142.000	0.820	0.898	0.742	0.913	1.284	0.000	0.000	0.000
07/09/2022 10:52:48.8	143.000	0.815	0.923	0.752	0.942	1.235	0.000	0.000	0.000
07/09/2022 10:52:49.8	144.000	0.923	0.894	0.781	0.923	1.201	0.000	0.000	0.000
07/09/2022 10:52:50.8	145.000	0.854	0.830	0.791	1.021	1.025	0.000	0.000	0.000
07/09/2022 10:52:51.8	146.000	0.854	0.854	0.796	1.011	1.162	0.000	0.000	0.000
07/09/2022 10:52:52.8	147.000	0.762	0.723	0.757	0.913	0.977	0.000	0.000	0.000
07/09/2022 10:52:53.8	148.000	0.718	1.060	0.718	0.903	1.128	0.000	0.000	0.000
07/09/2022 10:52:54.8	149.000	0.767	0.811	0.757	0.771	0.977	0.000	0.000	0.000
07/09/2022 10:52:55.8	150.000	0.718	0.776	0.840	0.815	1.055	0.000	0.000	0.000
07/09/2022 10:52:56.8	151.000	1.001	0.903	0.747	0.923	1.240	0.000	0.000	0.000
07/09/2022 10:52:57.8	152.000	0.679	0.815	0.791	0.913	0.962	0.000	0.000	0.000
07/09/2022 10:52:58.8	153.000	0.815	0.894	0.801	0.840	1.055	0.000	0.000	0.000
